?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/GO_0106049>	"Any process that modulates the frequency, rate or extent of the cellular response to osmotic stress."	
<http://purl.obolibrary.org/obo/XPO_0125861>	"Absence of vena capitis lateralis."	
<http://purl.obolibrary.org/obo/XPO_0130876>	"An increase in the size of the retromammillary area."	
<http://purl.obolibrary.org/obo/XPO_0128403>	"An abnormal reduction in the size of the Mauthner cell."	
<http://purl.obolibrary.org/obo/UBERON_0016405>	"A capillary that is part of a lung."	"FMA:14121"
<http://purl.obolibrary.org/obo/XPO_0125583>	"Absence of tendon fibroblast."	
<http://purl.obolibrary.org/obo/XPO_0126051>	"Absence of metatarsus."	
<http://purl.obolibrary.org/obo/GO_0051179>	"Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."	
<http://purl.obolibrary.org/obo/XPO_0129035>	"An abnormal reduction in the size of the prethalamus basal plate."	
<http://purl.obolibrary.org/obo/XPO_0137287>	"A decreased occurrence of apoptotic process in cell condensation."	
<http://purl.obolibrary.org/obo/XPO_0140021>	"An abnormally necrotic striatum."	
<http://purl.obolibrary.org/obo/XPO_0137027>	"A decreased occurrence of apoptotic process in anatomical system."	
<http://purl.obolibrary.org/obo/XPO_0139346>	"A decreased occurrence of cell population proliferation in central amygdala."	
<http://purl.obolibrary.org/obo/XAO_0003133>	"Compartment of trunk somite 13 that is a precursor of the axial skeleton."	
<http://purl.obolibrary.org/obo/XPO_0140049>	"An abnormally necrotic limb."	
<http://purl.obolibrary.org/obo/XPO_0125569>	"Absence of conjunctiva."	
<http://purl.obolibrary.org/obo/XPO_0134982>	"An increased occurrence of apoptotic process in cloacal sphincter."	
<http://purl.obolibrary.org/obo/XPO_0133840>	"An increased occurrence of apoptotic process in pulmonary vein."	
<http://purl.obolibrary.org/obo/GO_0061105>	"Any process that modulates the rate, frequency or extent of the differentiation of a neuroendocrine cell in the stomach."	
<http://purl.obolibrary.org/obo/XPO_0136590>	"An increased occurrence of cell population proliferation in anterior endoderm."	
<http://purl.obolibrary.org/obo/XPO_0132279>	"An abnormal development of the genital system."	
<http://purl.obolibrary.org/obo/XPO_0140618>	"An abnormally necrotic visceral pouch 5."	
<http://purl.obolibrary.org/obo/XPO_0138587>	"A decreased occurrence of cell population proliferation in myoblast."	
<http://purl.obolibrary.org/obo/XPO_0129085>	"An abnormal reduction in the size of the supraoptoparaventricular region."	
<http://purl.obolibrary.org/obo/GO_1905902>	"Any process that modulates the frequency, rate or extent of mesoderm formation."	
<http://purl.obolibrary.org/obo/XPO_0133697>	"An increased occurrence of apoptotic process in auditory tube."	
<http://purl.obolibrary.org/obo/XPO_0133621>	"An increased occurrence of apoptotic process in alimentary system."	
<http://purl.obolibrary.org/obo/XPO_0137078>	"A decreased occurrence of apoptotic process in pelvic girdle."	
<http://purl.obolibrary.org/obo/GO_2000187>	"Any process that activates or increases the frequency, rate or extent of phosphate transmembrane transport."	
<http://purl.obolibrary.org/obo/XPO_0134440>	"An increased occurrence of apoptotic process in coracoid bone."	
<http://purl.obolibrary.org/obo/XPO_0128020>	"An abnormal reduction in the size of the olfactory bulb."	
<http://purl.obolibrary.org/obo/XAO_0000378>	"Ventrolateral component of the external jugular vein."	
<http://purl.obolibrary.org/obo/XPO_0132389>	"An abnormal development of the monociliated cell."	
<http://purl.obolibrary.org/obo/XPO_0128234>	"An abnormal reduction in the size of the sclerotome of tail somite 17."	
<http://purl.obolibrary.org/obo/XPO_0100093>	"Abnormality of simple squamous epithelium."	
<http://purl.obolibrary.org/obo/GO_0034769>	"The controlled breakdown of the basement membrane in the context of a normal process such as imaginal disc eversion."	
<http://purl.obolibrary.org/obo/CL_0000556>	"A large hematopoietic cell (50 to 100 micron) with a lobated nucleus. Once mature, this cell undergoes multiple rounds of endomitosis and cytoplasmic restructuring to allow platelet formation and release."	"CALOHA:TS-0611 FMA:83555 BTO:0000843"
<http://purl.obolibrary.org/obo/XPO_0126021>	"Absence of rhombomere R3."	
<http://purl.obolibrary.org/obo/XPO_0129117>	"An abnormal reduction in the size of the ventromedial thalamic nucleus."	
<http://purl.obolibrary.org/obo/NCBITaxon_89593>		"GC_ID:1"
<http://purl.obolibrary.org/obo/XPO_0103645>	"The presence of a reduced number of filopodium in the dermatome."	
<http://purl.obolibrary.org/obo/XPO_0133653>	"An increased occurrence of apoptotic process in adrenal gland."	
<http://purl.obolibrary.org/obo/GO_2001141>	"Any process that modulates the frequency, rate or extent of RNA biosynthetic process."	
<http://purl.obolibrary.org/obo/XPO_0127542>	"An abnormally localised thymus."	
<http://purl.obolibrary.org/obo/GO_0051175>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways involving sulfur or compounds containing sulfur."	
<http://purl.obolibrary.org/obo/XPO_0135072>	"An increased occurrence of cell population proliferation in midbrain-hindbrain boundary."	
<http://purl.obolibrary.org/obo/XPO_0101204>	"Abnormality of peripheral nerve."	
<http://purl.obolibrary.org/obo/XPO_0138154>		
<http://purl.obolibrary.org/obo/GO_1904014>	"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a serotonin stimulus."	
<http://purl.obolibrary.org/obo/XPO_0141359>	"A decreased occurrence of cell adhesion in neuroectoderm."	
<http://purl.obolibrary.org/obo/XPO_0131412>	"The presence of an increased number of cilium in the floor plate."	
<http://purl.obolibrary.org/obo/XAO_0004401>	"A layer of signaling cells at the apex of a regenerating blastema, which has a vital role in regeneration."	
<http://purl.obolibrary.org/obo/XPO_0100418>	"Abnormality of anterior palatine artery."	
<http://purl.obolibrary.org/obo/XPO_0129125>	"An abnormal reduction in the size of the distal mesenchyme."	
<http://purl.obolibrary.org/obo/UBERON_0003500>	"A blood vessel that is part of a cornea [Automatically generated definition]."	"MA:0001241 EMAPA:36611"
<http://purl.obolibrary.org/obo/XPO_0125842>	"Absence of proctodeum."	
<http://purl.obolibrary.org/obo/XPO_0135045>	"An increased occurrence of apoptotic process in cephalic nerve."	
<http://purl.obolibrary.org/obo/XPO_0125089>	"Absence of kidney."	
<http://purl.obolibrary.org/obo/XPO_0139802>	"An abnormally necrotic ventral aorta."	
<http://purl.obolibrary.org/obo/XPO_0140045>	"An abnormally necrotic lateral pallium."	
<http://purl.obolibrary.org/obo/XPO_0130169>	"An increase in the size of the optic nerve."	
<http://purl.obolibrary.org/obo/XPO_0132560>	"An abnormal development of the m. levator mandibulae externus primordium."	
<http://purl.obolibrary.org/obo/XPO_0101899>	"Any unspecified morphological anomaly of the wound epidermis, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0134454>		
<http://purl.obolibrary.org/obo/XPO_0133789>	"An increased occurrence of apoptotic process in mesonephric late proximal tubule."	
<http://purl.obolibrary.org/obo/CL_0000232>	"A red blood cell. In mammals, mature erythrocytes are biconcave disks containing hemoglobin whose function is to transport oxygen."	"FMA:81100 CALOHA:TS-0290 BTO:0000424"
<http://purl.obolibrary.org/obo/XPO_0131065>	"The presence of an increased number of podocyte."	
<http://purl.obolibrary.org/obo/PATO_0001473>	"A quality inhering in a bearer by virtue of the bearer's being present in two copies."	
<http://purl.obolibrary.org/obo/GO_0048799>	"A developmental process, independent of morphogenetic (shape) change, that is required for an animal organ to attain its fully functional state. An organ is a tissue or set of tissues that work together to perform a specific function or functions."	
<http://purl.obolibrary.org/obo/XPO_0101112>	"Abnormality of antrum."	
<http://purl.obolibrary.org/obo/GO_0098794>	"The part of a synapse that is part of the post-synaptic cell."	
<http://purl.obolibrary.org/obo/GO_0009966>	"Any process that modulates the frequency, rate or extent of signal transduction."	
<http://purl.obolibrary.org/obo/XPO_0131125>	"The presence of an increased number of gamma cell."	
<http://purl.obolibrary.org/obo/XPO_0100307>	"Abnormality of blastomere."	
<http://purl.obolibrary.org/obo/XPO_0103625>	"Absent or undetectable mitotic cytokinesis in primary spermatogonium."	
<http://purl.obolibrary.org/obo/XPO_0132494>	"An abnormal development of the sclerotome of tail somite 15."	
<http://purl.obolibrary.org/obo/UBERON_0001769>	"The adjustable membrane, composed of the stroma and pigmented epithelium, located just in front of the crystalline lens within the eye."	"CALOHA:TS-0491 BTO:0000653 XAO:0000185 MA:0000273 FMA:58235 EMAPA:19154 SCTID:181164000 EV:0100345 UMLS:C0022077 NCIT:C12737 AAO:0010347 MESH:D007498 VHOG:0000101 ZFA:0001238 EFO:0004245 Wikipedia:Iris_(anatomy) GAID:917 TAO:0001238"
<http://purl.obolibrary.org/obo/CHEBI_52206>	"A biological role played by the molecular entity or part thereof within a biochemical context."	
<http://purl.obolibrary.org/obo/XPO_0139770>	"An abnormally necrotic hindlimb skeleton."	
<http://purl.obolibrary.org/obo/XPO_0141466>	"Absence of lymphoblast."	
<http://purl.obolibrary.org/obo/XPO_0100893>	"Abnormality of hyoid arch."	
<http://purl.obolibrary.org/obo/XPO_0100480>	"Abnormality of midbrain-hindbrain boundary."	
<http://purl.obolibrary.org/obo/XPO_0135221>	"An increased occurrence of cell population proliferation in globe."	
<http://purl.obolibrary.org/obo/UBERON_0011272>		"EHDAA2:0001845"
<http://purl.obolibrary.org/obo/XPO_0139117>	"A decreased occurrence of cell population proliferation in pretectum."	
<http://purl.obolibrary.org/obo/XPO_0139277>	"A decreased occurrence of cell population proliferation in trabecula carnea."	
<http://purl.obolibrary.org/obo/XPO_0138701>	"A decreased occurrence of cell population proliferation in basilar papilla."	
<http://purl.obolibrary.org/obo/XPO_0140237>	"An abnormally necrotic goblet cell."	
<http://purl.obolibrary.org/obo/XPO_0131729>	"Abnormal regulation of growth rate."	
<http://purl.obolibrary.org/obo/XPO_0136369>	"An increased occurrence of cell population proliferation in nucleus reticularis medialis."	
<http://purl.obolibrary.org/obo/XPO_0129623>	"An increase in the size of the stem cell."	
<http://purl.obolibrary.org/obo/GO_0032891>	"Any process that stops, prevents, or reduces the frequency, rate or extent of the directed movement of organic acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."	
<http://purl.obolibrary.org/obo/XPO_0128299>	"An abnormal reduction in the size of the anterior neural ridge."	
<http://purl.obolibrary.org/obo/XPO_0131475>	"Absence of olfactory behavior."	
<http://purl.obolibrary.org/obo/XAO_0004232>	"The exit for respiratory water in the tadpole."	
<http://purl.obolibrary.org/obo/XPO_0102315>	"Any unspecified morphological anomaly of the trunk somite 1, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0129567>	"An increase in the size of the adenohypophyseal placode."	
<http://purl.obolibrary.org/obo/XPO_0141757>	"Abnormal ion homeostasis."	
<http://purl.obolibrary.org/obo/GO_0098876>	"The directed movement of substances to the plasma membrane in transport vesicles that fuse with the plasma membrane by exocytosis."	
<http://purl.obolibrary.org/obo/XPO_0126909>	"An abnormally localised lymphocyte."	
<http://purl.obolibrary.org/obo/XAO_0000098>	"The second of the series of bony or cartilaginous arches that develop in the walls of the mouth cavity and pharynx of the embryo."	"UBERON:0003066"
<http://purl.obolibrary.org/obo/XPO_0135920>	"An increased occurrence of cell population proliferation in anterior placodal area."	
<http://purl.obolibrary.org/obo/XPO_0126356>	"An abnormally localised skeletal element."	
<http://purl.obolibrary.org/obo/XPO_0126645>	"An abnormally localised granule cell layer of the cerebellum."	
<http://purl.obolibrary.org/obo/GO_1904819>	"The process whose specific outcome is the progression of a parietal peritoneum over time, from its formation to the mature structure."	
<http://purl.obolibrary.org/obo/XPO_0139839>	"An abnormally necrotic progenitor cell."	
<http://purl.obolibrary.org/obo/XPO_0138583>	"A decreased occurrence of cell population proliferation in primary germ layer."	
<http://purl.obolibrary.org/obo/XPO_0132399>	"An abnormal development of the coelomic epithelium."	
<http://purl.obolibrary.org/obo/UBERON_0034713>	"Any of the cranial nerves, or their central nervous system analogs (the optic tract, the epiphyseal tract). These analogs are not true nerves, and are instead evaginated sensory afferents emanating from the brain."	
<http://purl.obolibrary.org/obo/XPO_0125161>	"Absence of stomodeal-hypophyseal primordium."	
<http://purl.obolibrary.org/obo/XPO_0137609>	"A decreased occurrence of apoptotic process in mm. constrictores branchiales IV."	
<http://purl.obolibrary.org/obo/XPO_0140188>	"An abnormally necrotic abducens nerve."	
<http://purl.obolibrary.org/obo/GO_0060038>	"The expansion of a cardiac muscle cell population by cell division."	
<http://purl.obolibrary.org/obo/UBERON_0034905>		
<http://purl.obolibrary.org/obo/XPO_0141346>	"A decreased occurrence of cell adhesion in foregut."	
<http://purl.obolibrary.org/obo/XAO_0005127>	"Embryonic structure that consists of the anterior part of the foregut and develops into the esophagus and trachea."	
<http://purl.obolibrary.org/obo/XPO_0134317>	"An increased occurrence of apoptotic process in hyaloid blood vessel."	
<http://purl.obolibrary.org/obo/XAO_0005002>	"An anatomical structure that has more than one cell as a part."	"CARO:0010000 UBERON:0010000"
<http://purl.obolibrary.org/obo/UBERON_0001201>	"The outermost layer of the stomach wall, consisting of layers of connective tissue continuous with the peritoneum."	"FMA:14914 EMAPA:35822 MA:0001626 SCTID:1353004 UMLS:C1517453 NCIT:C32662"
<http://purl.obolibrary.org/obo/XPO_0134172>	"An increased occurrence of apoptotic process in simple columnar epithelium."	
<http://purl.obolibrary.org/obo/UBERON_0015808>	"An epithelium that is part of a camera-type eye."	"EMAPA:35957 MA:0003162"
<http://purl.obolibrary.org/obo/XPO_0140064>	"An abnormally necrotic thyroid."	
<http://purl.obolibrary.org/obo/XPO_0134174>	"An increased occurrence of apoptotic process in simple squamous epithelium."	
<http://purl.obolibrary.org/obo/GO_0003361>	"The process in which a relatively unspecialized cell acquires specialized features of an noradrenergic neuron that is part of the brainstem."	
<http://purl.obolibrary.org/obo/UBERON_0005389>	"A transparent structure that is part of a visual sense organ, the function of which is to direct or focus light onto a photoreceptor array."	
<http://purl.obolibrary.org/obo/XPO_0138796>	"A decreased occurrence of cell population proliferation in epithelial cell."	
<http://purl.obolibrary.org/obo/XPO_0103277>	"Absence of forelimb."	
<http://purl.obolibrary.org/obo/GO_0030307>	"Any process that activates or increases the frequency, rate, extent or direction of cell growth."	
<http://purl.obolibrary.org/obo/XPO_0126195>	"Absence of glossopharyngeal epibranchial placode."	
<http://purl.obolibrary.org/obo/XPO_0125823>		
<http://purl.obolibrary.org/obo/XPO_0135218>	"An increased occurrence of cell population proliferation in peripheral nervous system."	
<http://purl.obolibrary.org/obo/XPO_0135595>	"An increased occurrence of cell population proliferation in sclerotome of tail somite 17."	
<http://purl.obolibrary.org/obo/XPO_0138602>	"A decreased occurrence of cell population proliferation in digit."	
<http://purl.obolibrary.org/obo/XPO_0100568>	"Abnormality of telencephalon septum."	
<http://purl.obolibrary.org/obo/XPO_0128632>	"An abnormal reduction in the size of the bottle cell."	
<http://purl.obolibrary.org/obo/XPO_0134453>		
<http://purl.obolibrary.org/obo/UBERON_0000481>	"Anatomical structure that has as its parts two or more portions of tissue of at least two different types and which through specific morphogenetic processes forms a single distinct structural unit demarcated by bona-fide boundaries from other distinct structural units of different types."	"BILA:0000055 VHOG:0001762 FBbt:00007010 TGMA:0001847 AAO:0010048 ZFA:0001488 HAO:0000055 TAO:0001488 CARO:0000055 AEO:0000055 XAO:0003037 EHDAA2:0003055"
<http://purl.obolibrary.org/obo/XPO_0132922>	"An abnormal development of the oropharyngeal papilla."	
<http://purl.obolibrary.org/obo/XPO_0100536>	"Abnormality of inner ear."	
<http://purl.obolibrary.org/obo/XPO_0140067>	"An abnormally necrotic prosomere."	
<http://purl.obolibrary.org/obo/XPO_0135471>	"An increased occurrence of cell population proliferation in second pancreatic bud."	
<http://purl.obolibrary.org/obo/XPO_0125162>	"Absence of spinal neuron."	
<http://purl.obolibrary.org/obo/XPO_0125370>	"Absence of skeletal muscle."	
<http://purl.obolibrary.org/obo/XPO_0138696>	"A decreased occurrence of cell population proliferation in myotome of tail somite 16."	
<http://purl.obolibrary.org/obo/XPO_0129253>	"An abnormal reduction in the size of the vertebral artery."	
<http://purl.obolibrary.org/obo/GO_0006105>	"The chemical reactions and pathways involving succinate, also known as butanedioate or ethane dicarboxylate, the dianion of succinic acid. Succinate is an important intermediate in metabolism and a component of the TCA cycle."	
<http://purl.obolibrary.org/obo/UBERON_0000930>	"Anterior part of the embryonic digestive tract that develops into a mouth. The stomodeum includes as parts an invagination of the ectoderm and the stomodeal cavity."	"EHDAA2:0001929 Wikipedia:Stomodeum FMA:295846 FBbt:00000439 EMAPA:16263 UMLS:C1514977 TGMA:0000135 TAO:0001290 BTO:0004224 NCIT:C34306 ZFA:0001290 XAO:0000269"
<http://purl.obolibrary.org/obo/XPO_0138146>	"A decreased occurrence of apoptotic process in atrioventricular valve."	
<http://purl.obolibrary.org/obo/XPO_0138023>	"A decreased occurrence of apoptotic process in antrum."	
<http://purl.obolibrary.org/obo/XPO_0134452>		
<http://purl.obolibrary.org/obo/GO_0006566>	"The chemical reactions and pathways involving threonine (2-amino-3-hydroxybutyric acid), a polar, uncharged, essential amino acid found in peptide linkage in proteins."	"UM-BBD_pathwayID:met"
<http://purl.obolibrary.org/obo/XPO_0128427>	"An abnormal reduction in the size of the commissural interneuron."	
<http://purl.obolibrary.org/obo/XPO_0135079>	"An increased occurrence of cell population proliferation in mandibular crest."	
<http://purl.obolibrary.org/obo/XPO_0115664>	"Abnormal(ly) decreased mobility of migratory neural crest cell (Temporary definition)."	
<http://purl.obolibrary.org/obo/XPO_0138417>	"A decreased occurrence of cell population proliferation in late distal tubule."	
<http://purl.obolibrary.org/obo/XPO_0125318>	"Absence of m. rectus superior primordium."	
<http://purl.obolibrary.org/obo/XPO_0134510>	"An increased occurrence of apoptotic process in laryngeal muscle."	
<http://purl.obolibrary.org/obo/XPO_0115457>	"Abnormal(ly) increased volume of blastocoel (Temporary definition)."	
<http://purl.obolibrary.org/obo/GO_0141092>	"Any process that increases the rate, frequency or extent of nodal signaling pathway."	
<http://purl.obolibrary.org/obo/UBERON_0001975>	"A serous membrane that is part of a esophagus [Automatically generated definition]."	"EMAPA:35322 FMA:63057 MA:0001571"
<http://purl.obolibrary.org/obo/XPO_0124984>	"Absence of progenitor cell."	
<http://purl.obolibrary.org/obo/XPO_0100585>	"Abnormality of elastica externa."	
<http://purl.obolibrary.org/obo/UBERON_0007376>	"The epidermis is the entire outer epithelial layer of an animal, it may be a single layer that produces an extracellular material (e.g. the cuticle of arthropods) or a complex stratified squamous epithelium, as in the case of many vertebrate species[GO]."	"BSA:0000073 HAO:0000298 BTO:0000313 FBbt:00004993 WBbt:0005733 TADS:0000109 Wikipedia:Epidermis_(zoology)"
<http://purl.obolibrary.org/obo/GO_0002318>	"The process in which a precursor cell type acquires the specialized features of a myeloid progenitor cell. Myeloid progenitor cells include progenitor cells for any of the myeloid lineages."	
<http://purl.obolibrary.org/obo/XPO_0138864>	"A decreased occurrence of cell population proliferation in oropharyngeal papilla."	
<http://purl.obolibrary.org/obo/XAO_0003105>	"Compartment of head somite 2 that is a precursor of muscle."	
<http://purl.obolibrary.org/obo/XPO_0140240>	"An abnormally necrotic eye photoreceptor cell."	
<http://purl.obolibrary.org/obo/XPO_0132104>	"An abnormal development of the forelimb."	
<http://purl.obolibrary.org/obo/XPO_0128275>	"An abnormal reduction in the size of the kidney."	
<http://purl.obolibrary.org/obo/GO_0003220>	"The process in which the anatomical structures of left cardiac ventricle muscle are generated and organized."	
<http://purl.obolibrary.org/obo/XPO_0131257>	"The presence of a reduced number of epidermal cell."	
<http://purl.obolibrary.org/obo/XPO_0138671>	"A decreased occurrence of cell population proliferation in sclerotome of trunk somite 3."	
<http://purl.obolibrary.org/obo/XPO_0131470>	"Abnormal heart contraction."	
<http://purl.obolibrary.org/obo/XPO_0128829>	"An abnormal reduction in the size of the marginal zone (sensu neural)."	
<http://purl.obolibrary.org/obo/UBERON_0001444>		"FMA:24218 SCTID:123852005 XAO:0000040"
<http://purl.obolibrary.org/obo/GO_1904074>	"Any process that stops, prevents or reduces the frequency, rate or extent of trophectodermal cell proliferation."	
<http://purl.obolibrary.org/obo/XPO_0102098>	"Any unspecified morphological anomaly of the limb bud, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0137614>	"A decreased occurrence of apoptotic process in m. rectus posterior."	
<http://purl.obolibrary.org/obo/UBERON_0001082>	"An epicardial layer that lines a cardiac ventricle."	"ZFA:0005058 TAO:0005058 FMA:12150"
<http://purl.obolibrary.org/obo/XPO_0127442>	"An abnormally localised lung bud."	
<http://purl.obolibrary.org/obo/UBERON_0007601>	"Epithelium bearing vibratile cilia on the free surface."	
<http://purl.obolibrary.org/obo/UBERON_0002349>	"The middle layer of the heart, comprised mainly of striated cardiac muscle fibers."	"MESH:D009206 VHOG:0000083 SCTID:362012001 XAO:0000065 NCIT:C12371 galen:Myocardium AAO:0010410 EFO:0000819 RETIRED_EHDAA2:0001220 TAO:0001319 FMA:9462 BTO:0000901 MA:0000164 EHDAA2:0004150 EV:0100022 Wikipedia:Myocardium UMLS:C0027061 CALOHA:TS-0440 ZFA:0001319 BSA:0000089 GAID:173 MAT:0000453"
<http://purl.obolibrary.org/obo/XPO_0133280>	"An abnormal development of the m. transversus anterior."	
<http://purl.obolibrary.org/obo/XPO_0136861>	"A decreased occurrence of apoptotic process in epibranchial placode."	
<http://purl.obolibrary.org/obo/XPO_0102571>	"Any unspecified morphological anomaly of the ceratobranchial II, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0101053>	"Abnormality of anterior hypothalamus."	
<http://purl.obolibrary.org/obo/XPO_0141287>	"Any unspecified morphological anomaly of the non-neurogenic ectodermal placode, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0129404>	"An abnormal reduction in the size of the metencephalic artery."	
<http://purl.obolibrary.org/obo/XPO_0130516>	"An increase in the size of the trunk somite 5."	
<http://purl.obolibrary.org/obo/XPO_0138510>	"A decreased occurrence of cell population proliferation in notochordal sheath."	
<http://purl.obolibrary.org/obo/UBERON_0002217>	"Joint in which the articulating bones or cartilages are connected by an articular capsule which encloses a synovial membrane and a synovial cavity. Examples: Temporomandibular joint, knee joint.[FMA]."	"MA:0000322 FMA:7501 CALOHA:TS-2138 SCTID:113234001 Wikipedia:Synovial_joint NCIT:C32461 galen:SynovialJoint ZFA:0005153 TAO:0005153 AEO:0000183 EHDAA2:0003183"
<http://purl.obolibrary.org/obo/GO_0048631>	"Any process that modulates the frequency, rate or extent of skeletal muscle growth."	
<http://purl.obolibrary.org/obo/XPO_0135138>	"An increased occurrence of cell population proliferation in upper blastopore lip."	
<http://purl.obolibrary.org/obo/XPO_0130989>	"The presence of an increased number of ciliated cell."	
<http://purl.obolibrary.org/obo/XAO_0004343>	"The 4th branchial levator muscle, which contributes to raising the branchial apparatus."	
<http://purl.obolibrary.org/obo/UBERON_0013140>	"Any vein within the general circulation that transports blood back to the right atrium of the heart."	"NCIT:C33719 FMA:66644 UMLS:C0447117 SCTID:244389004"
<http://purl.obolibrary.org/obo/UBERON_0013702>	"The region of the organism associated with the visceral organs."	"FMA:231424 BTO:0001489 AEO:0000103"
<http://purl.obolibrary.org/obo/XPO_0133824>	"An increased occurrence of apoptotic process in omphalomesenteric vein."	
<http://purl.obolibrary.org/obo/XPO_0102270>	"Any unspecified morphological anomaly of the polar body, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0138380>	"A decreased occurrence of cell population proliferation in neural groove."	
<http://purl.obolibrary.org/obo/XPO_0102102>	"Any unspecified morphological anomaly of the mandibular crest, such as, for example, abnormal shape or colour."	
<http://purl.obolibrary.org/obo/XPO_0140818>	"An abnormally necrotic pretectum."	
<http://purl.obolibrary.org/obo/GO_0030659>	"The lipid bilayer surrounding a cytoplasmic vesicle."	
<http://purl.obolibrary.org/obo/XPO_0129971>	"An increase in the size of the retinal ganglion cell."	
<http://purl.obolibrary.org/obo/XPO_0128668>	"An abnormal reduction in the size of the fenestra basicranialis."	
<http://purl.obolibrary.org/obo/XPO_0141994>	"Increased cilium movement in floor plate."	
<http://purl.obolibrary.org/obo/GO_0090100>	"Any process that increases the rate, frequency, or extent of the series of molecular signals generated as a consequence of a transmembrane receptor serine/threonine kinase binding to its physiological ligand."	
<http://purl.obolibrary.org/obo/XPO_0141688>	"An abnormal development of the posterior notochord."	
<http://purl.obolibrary.org/obo/UBERON_0010523>	"A vessel of the microcirculature, lying between the arterioles and venules; includes capillaries (blood and lymphatic), metarterioles and arteriovenous anastomoses."	"TAO:0005251 MESH:D055806 ZFA:0005251"
