term,label,definition,exact_synonym
http://purl.obolibrary.org/obo/XPO_0101480,abnormal stage V oocyte,Abnormality of stage V oocyte.,abnormality of stage V oocyte
http://purl.obolibrary.org/obo/XPO_0100438,abnormal spinal cord,Abnormality of spinal cord.,abnormality of spinal cord
http://purl.obolibrary.org/obo/XPO_0100526,abnormal dorsomedial edge of myotome,Abnormality of dorsomedial edge of myotome.,abnormality of dorsomedial edge of myotome
http://purl.obolibrary.org/obo/XPO_0100614,abnormal m. constrictor laryngis primordium,Abnormality of m. constrictor laryngis primordium.,abnormality of m. constrictor laryngis primordium
http://purl.obolibrary.org/obo/XPO_0100702,abnormal glial cell,Abnormality of glial cell.,abnormality of glial cell
http://purl.obolibrary.org/obo/XPO_0101179,abnormal pars interna of the stapes,Abnormality of pars interna of the stapes.,abnormality of pars interna of the stapes
http://purl.obolibrary.org/obo/XPO_0101267,abnormal branchial arch skeleton 4,Abnormality of branchial arch skeleton 4.,abnormality of branchial arch skeleton 4
http://purl.obolibrary.org/obo/XPO_0101355,abnormal left omphalomesenteric vein,Abnormality of left omphalomesenteric vein.,abnormality of left omphalomesenteric vein
http://purl.obolibrary.org/obo/XPO_0101443,abnormal subthalamic nucleus,Abnormality of subthalamic nucleus.,abnormality of subthalamic nucleus
http://purl.obolibrary.org/obo/XPO_0101531,abnormal myotome of trunk somite 4,Abnormality of myotome of trunk somite 4.,abnormality of myotome of trunk somite 4
http://purl.obolibrary.org/obo/XPO_0102096,abnormal morphology of branchial head muscle ,Any structural anomaly of the branchial head muscle.,abnormal shape of branchial head muscle
http://purl.obolibrary.org/obo/XPO_0102184,abnormal morphology of m. orbitohyoideus primordium ,Any structural anomaly of the m. orbitohyoideus primordium.,abnormal shape of m. orbitohyoideus primordium
http://purl.obolibrary.org/obo/XPO_0102272,abnormal morphology of notochordal sheath ,Any structural anomaly of the notochordal sheath.,abnormal shape of notochordal sheath
http://purl.obolibrary.org/obo/XPO_0102360,abnormal morphology of cell condensation ,Any structural anomaly of the cell condensation.,abnormal shape of cell condensation
http://purl.obolibrary.org/obo/XPO_0101318,abnormal dermal bone,Abnormality of dermal bone.,abnormality of dermal bone
http://purl.obolibrary.org/obo/XPO_0101406,abnormal cleavage furrow,Abnormality of cleavage furrow.,abnormality of cleavage furrow
http://purl.obolibrary.org/obo/XPO_0102059,abnormal morphology of olfactory system ,Any structural anomaly of the olfactory system.,abnormal shape of olfactory system
http://purl.obolibrary.org/obo/XPO_0102147,abnormal morphology of somatic stem cell ,Any structural anomaly of the somatic stem cell.,abnormal shape of somatic stem cell
http://purl.obolibrary.org/obo/XPO_0102235,abnormal morphology of lateral ventricle ,Any structural anomaly of the lateral ventricle.,abnormal shape of lateral ventricle
http://purl.obolibrary.org/obo/XPO_0102323,abnormal morphology of keratin accumulating cell ,Any structural anomaly of the keratin accumulating cell.,abnormal shape of keratin accumulating cell
http://purl.obolibrary.org/obo/XPO_0102411,abnormal morphology of optic choroid vascular plexus ,Any structural anomaly of the optic choroid vascular plexus.,abnormal shape of optic choroid vascular plexus
http://purl.obolibrary.org/obo/XPO_0103064,abnormal morphology of dorsal crest of the endoderm ,Any structural anomaly of the dorsal crest of the endoderm.,abnormal shape of dorsal crest of the endoderm
http://purl.obolibrary.org/obo/XPO_0103152,abnormal morphology of otic region ,Any structural anomaly of the otic region.,abnormal shape of otic region
http://purl.obolibrary.org/obo/XPO_0103027,abnormal morphology of m. geniohyoideus ,Any structural anomaly of the m. geniohyoideus.,abnormal shape of m. geniohyoideus
http://purl.obolibrary.org/obo/XPO_0103115,abnormal morphology of nostril ,Any structural anomaly of the nostril.,abnormal shape of nostril
http://purl.obolibrary.org/obo/XPO_0103203,abnormal morphology of non-cililated epidermal cell ,Any structural anomaly of the non-cililated epidermal cell.,abnormal shape of non-cililated epidermal cell
http://purl.obolibrary.org/obo/XPO_0101996,abnormal morphology of mm. levator arcuum branchialium III primordium ,Any structural anomaly of the mm. levator arcuum branchialium III primordium.,abnormal shape of mm. levator arcuum branchialium III primordium
http://purl.obolibrary.org/obo/XPO_0100192,abnormal epithelium,Abnormality of epithelium.,abnormality of epithelium
http://purl.obolibrary.org/obo/XPO_0100280,abnormal dorsal fin skeleton,Abnormality of dorsal fin skeleton.,abnormality of dorsal fin skeleton
http://purl.obolibrary.org/obo/XPO_0101959,abnormal morphology of visceral pouch ,Any structural anomaly of the visceral pouch.,abnormal shape of visceral pouch
http://purl.obolibrary.org/obo/XPO_0102788,abnormal morphology of typhlosole ,Any structural anomaly of the typhlosole.,abnormal shape of typhlosole
http://purl.obolibrary.org/obo/XPO_0102876,abnormal morphology of hindlimb digit 4 ,Any structural anomaly of the hindlimb digit 4.,abnormal shape of hindlimb digit 4
http://purl.obolibrary.org/obo/XPO_0102964,abnormal morphology of left spleen primordium ,Any structural anomaly of the left spleen primordium.,abnormal shape of left spleen primordium
http://purl.obolibrary.org/obo/XPO_0100067,abnormal animal hemisphere,Abnormality of animal hemisphere.,abnormality of animal hemisphere
http://purl.obolibrary.org/obo/XPO_0100155,abnormal hepatic portal vein,Abnormality of hepatic portal vein.,abnormality of hepatic portal vein
http://purl.obolibrary.org/obo/XPO_0100331,abnormal m. interhyoideus primordium,Abnormality of m. interhyoideus primordium.,abnormality of m. interhyoideus primordium
http://purl.obolibrary.org/obo/XPO_0101072,abnormal mitochondrial cloud,Abnormality of mitochondrial cloud.,abnormality of mitochondrial cloud
http://purl.obolibrary.org/obo/XPO_0101160,abnormal ventral funiculus,Abnormality of ventral funiculus.,abnormality of ventral funiculus
http://purl.obolibrary.org/obo/XPO_0102839,abnormal morphology of glossopharyngeal nerve ,Any structural anomaly of the glossopharyngeal nerve.,abnormal shape of glossopharyngeal nerve
http://purl.obolibrary.org/obo/XPO_0102927,abnormal morphology of claw of hindlimb digit 1 ,Any structural anomaly of the claw of hindlimb digit 1.,abnormal shape of claw of hindlimb digit 1
http://purl.obolibrary.org/obo/XPO_0100206,abnormal nucleus accumbens,Abnormality of nucleus accumbens.,abnormality of nucleus accumbens
http://purl.obolibrary.org/obo/XPO_0103668,abnormally formed ventral region,An abnormally formed/malformed ventral region.,malformed ventral region
http://purl.obolibrary.org/obo/XPO_0103756,increased size of the germ cell,An increase in the size of the germ cell.,enlarged germ cell
http://purl.obolibrary.org/obo/XPO_0103844,Abnormally localised neural tube,An abnormally localised neural tube.,abnormal position of neural tube
http://purl.obolibrary.org/obo/XPO_0101035,abnormal ventrolateral neural tube,Abnormality of ventrolateral neural tube.,abnormality of ventrolateral neural tube
http://purl.obolibrary.org/obo/XPO_0101123,abnormal third ventricle,Abnormality of third ventricle.,abnormality of third ventricle
http://purl.obolibrary.org/obo/XPO_0101211,abnormal sclerotome of trunk somite 3,Abnormality of sclerotome of trunk somite 3.,abnormality of sclerotome of trunk somite 3
http://purl.obolibrary.org/obo/XPO_0102040,abnormal morphology of glomus ,Any structural anomaly of the glomus.,abnormal shape of glomus
http://purl.obolibrary.org/obo/XPO_0103719,increased size of the ceratobranchial IV,An increase in the size of the ceratobranchial IV.,enlarged ceratobranchial IV
http://purl.obolibrary.org/obo/XPO_0102003,abnormal morphology of hyaloid blood vessel ,Any structural anomaly of the hyaloid blood vessel.,abnormal shape of hyaloid blood vessel
http://purl.obolibrary.org/obo/XPO_0100796,abnormal pseudoblastema,Abnormality of pseudoblastema.,abnormality of pseudoblastema
http://purl.obolibrary.org/obo/XPO_0100884,abnormal dorsal fin margin,Abnormality of dorsal fin margin.,abnormality of dorsal fin margin
http://purl.obolibrary.org/obo/XPO_0107263,abnormal anatomical side,Abnormality of anatomical side.,abnormality of anatomical side
http://purl.obolibrary.org/obo/XPO_0100972,abnormal ventral pallidum,Abnormality of ventral pallidum.,abnormality of ventral pallidum
http://purl.obolibrary.org/obo/XPO_0107351,abnormal morphology of anterior side ,Any structural anomaly of the anterior side.,abnormal shape of anterior side
http://purl.obolibrary.org/obo/XPO_0100847,abnormal stomach,Abnormality of stomach.,abnormality of stomach
http://purl.obolibrary.org/obo/XPO_0100935,abnormal skeleton,Abnormality of skeleton.,abnormality of skeleton
http://purl.obolibrary.org/obo/XPO_0107314,abnormal right eye,Abnormality of right eye.,abnormality of right eye
http://purl.obolibrary.org/obo/XPO_0107402,abnormal morphology of left inner ear ,Any structural anomaly of the left inner ear.,abnormal shape of left inner ear
http://purl.obolibrary.org/obo/XPO_0101588,abnormal central nucleus of the thalamus,Abnormality of central nucleus of the thalamus.,abnormality of central nucleus of the thalamus
http://purl.obolibrary.org/obo/XPO_0101764,abnormal morphology of cranium ,Any structural anomaly of the cranium.,abnormal shape of cranium
http://purl.obolibrary.org/obo/XPO_0101852,abnormal morphology of semicircular canal ,Any structural anomaly of the semicircular canal.,abnormal shape of semicircular canal
http://purl.obolibrary.org/obo/XPO_0101940,abnormal morphology of early embryonic cell ,Any structural anomaly of the early embryonic cell.,abnormal shape of early embryonic cell
http://purl.obolibrary.org/obo/XPO_0102681,abnormal morphology of cardia ,Any structural anomaly of the cardia.,abnormal shape of cardia
http://purl.obolibrary.org/obo/XPO_0101815,abnormal morphology of gastrocoel roof plate ,Any structural anomaly of the gastrocoel roof plate.,abnormal shape of gastrocoel roof plate
http://purl.obolibrary.org/obo/XPO_0101903,abnormal morphology of mesonephric nephron ,Any structural anomaly of the mesonephric nephron.,abnormal shape of mesonephric nephron
http://purl.obolibrary.org/obo/XPO_0102468,abnormal morphology of dorsal fin vasculature ,Any structural anomaly of the dorsal fin vasculature.,abnormal shape of dorsal fin vasculature
http://purl.obolibrary.org/obo/XPO_0102556,abnormal morphology of spermatozoon ,Any structural anomaly of the spermatozoon.,abnormal shape of spermatozoon
http://purl.obolibrary.org/obo/XPO_0102644,abnormal morphology of sub-blastoporal endoderm ,Any structural anomaly of the sub-blastoporal endoderm.,abnormal shape of sub-blastoporal endoderm
http://purl.obolibrary.org/obo/XPO_0102732,abnormal morphology of inner fin ,Any structural anomaly of the inner fin.,abnormal shape of inner fin
http://purl.obolibrary.org/obo/XPO_0102820,abnormal morphology of posterior ventral blood island ,Any structural anomaly of the posterior ventral blood island.,abnormal shape of posterior ventral blood island
http://purl.obolibrary.org/obo/XPO_0100011,abnormal cardiac neural crest,Abnormality of cardiac neural crest.,abnormality of cardiac neural crest
http://purl.obolibrary.org/obo/XPO_0103297,absent inner ear,Absence of inner ear.,missing inner ear
http://purl.obolibrary.org/obo/XPO_0103385,increased size of the left atrium,An increase in the size of the left atrium.,enlarged left atrium
http://purl.obolibrary.org/obo/XPO_0103561,decreased length of anterior-posterior axis,Decreased length or shortening of the anterior-posterior axis.,short anterior-posterior axis
http://purl.obolibrary.org/obo/XPO_0102519,abnormal morphology of right-dorsal blastomere ,Any structural anomaly of the right-dorsal blastomere.,abnormal shape of right-dorsal blastomere
http://purl.obolibrary.org/obo/XPO_0102607,abnormal morphology of multiciliated epidermal cell ,Any structural anomaly of the multiciliated epidermal cell.,abnormal shape of multiciliated epidermal cell
http://purl.obolibrary.org/obo/XPO_0103348,decreased size of the jaw muscle,An abnormal reduction in the size of the jaw muscle.,abnormally small jaw muscle
http://purl.obolibrary.org/obo/XPO_0103436,decreased size of the hindlimb digit,An abnormal reduction in the size of the hindlimb digit.,abnormally small hindlimb digit
http://purl.obolibrary.org/obo/XPO_0103612,abnormal number of metacarpal bones,Any structural anomaly that causes there to be an abnormal number metacarpus.,altered number of metacarpuss
http://purl.obolibrary.org/obo/XPO_0103612,abnormal number of metacarpal bones,Any structural anomaly that causes there to be an abnormal number metacarpus.,abnormal number of metacarpuss
http://purl.obolibrary.org/obo/XPO_0103700,abnormal bending of humerus ,Any abnormal bending of the humerus.,abnormally bending humerus
http://purl.obolibrary.org/obo/XPO_0103700,abnormal bending of humerus ,Any abnormal bending of the humerus.,abnormal bending of humerus
http://purl.obolibrary.org/obo/XPO_0100388,abnormal adenohypophyseal placode,Abnormality of adenohypophyseal placode.,abnormality of adenohypophyseal placode
http://purl.obolibrary.org/obo/XPO_0115786,abnormal duplication of forelimb digit 2 ,Any abnormal duplication of the forelimb digit 2.,abnormally duplicated forelimb digit 2
http://purl.obolibrary.org/obo/XPO_0100476,abnormal trunk somite 7,Abnormality of trunk somite 7.,abnormality of trunk somite 7
http://purl.obolibrary.org/obo/XPO_0100564,abnormal central retina,Abnormality of central retina.,abnormality of central retina
http://purl.obolibrary.org/obo/XPO_0100652,abnormal medial cardinal vein,Abnormality of medial cardinal vein.,abnormality of medial cardinal vein
http://purl.obolibrary.org/obo/XPO_0100740,abnormal profundal placode,Abnormality of profundal placode.,abnormality of profundal placode
http://purl.obolibrary.org/obo/XPO_0101393,abnormal dorsolateral neural tube,Abnormality of dorsolateral neural tube.,abnormality of dorsolateral neural tube
http://purl.obolibrary.org/obo/XPO_0101481,abnormal skeletal muscle satellite cell,Abnormality of skeletal muscle satellite cell.,abnormality of skeletal muscle satellite cell
http://purl.obolibrary.org/obo/XPO_0100527,abnormal cellular bone tissue,Abnormality of cellular bone tissue.,abnormality of cellular bone tissue
http://purl.obolibrary.org/obo/XPO_0100615,abnormal mitral cell layer of the olfactory bulb,Abnormality of mitral cell layer of the olfactory bulb.,abnormality of mitral cell layer of the olfactory bulb
http://purl.obolibrary.org/obo/XPO_0100703,abnormal head region,Abnormality of head region.,abnormality of head region
http://purl.obolibrary.org/obo/XPO_0101268,abnormal lateral hypothalamic nucleus,Abnormality of lateral hypothalamic nucleus.,abnormality of lateral hypothalamic nucleus
http://purl.obolibrary.org/obo/XPO_0101356,abnormal exocrine pancreas,Abnormality of exocrine pancreas.,abnormality of exocrine pancreas
http://purl.obolibrary.org/obo/XPO_0101444,abnormal forebrain-midbrain boundary,Abnormality of forebrain-midbrain boundary.,abnormality of forebrain-midbrain boundary
http://purl.obolibrary.org/obo/XPO_0101532,abnormal endomesoderm,Abnormality of endomesoderm.,abnormality of endomesoderm
http://purl.obolibrary.org/obo/XPO_0102097,abnormal morphology of skeletal system ,Any structural anomaly of the skeletal system.,abnormal shape of skeletal system
http://purl.obolibrary.org/obo/XPO_0102185,abnormal morphology of laryngeal muscle primordium ,Any structural anomaly of the laryngeal muscle primordium.,abnormal shape of laryngeal muscle primordium
http://purl.obolibrary.org/obo/XPO_0102273,abnormal morphology of metencephalic vein ,Any structural anomaly of the metencephalic vein.,abnormal shape of metencephalic vein
http://purl.obolibrary.org/obo/XPO_0102361,abnormal morphology of thalamus ,Any structural anomaly of the thalamus.,abnormal shape of thalamus
http://purl.obolibrary.org/obo/XPO_0101319,abnormal lateral amygdala,Abnormality of lateral amygdala.,abnormality of lateral amygdala
http://purl.obolibrary.org/obo/XPO_0101407,abnormal enamel,Abnormality of enamel.,abnormality of enamel
http://purl.obolibrary.org/obo/XPO_0103190,abnormal morphology of abdominal myoblast ,Any structural anomaly of the abdominal myoblast.,abnormal shape of abdominal myoblast
http://purl.obolibrary.org/obo/XPO_0102148,abnormal morphology of cerebellum ,Any structural anomaly of the cerebellum.,abnormal shape of cerebellum
http://purl.obolibrary.org/obo/XPO_0102236,abnormal morphology of m. geniohyoideus primordium ,Any structural anomaly of the m. geniohyoideus primordium.,abnormal shape of m. geniohyoideus primordium
http://purl.obolibrary.org/obo/XPO_0102412,abnormal morphology of vascular plexus ,Any structural anomaly of the vascular plexus.,abnormal shape of vascular plexus
http://purl.obolibrary.org/obo/XPO_0102500,abnormal morphology of transporting epithelium ,Any structural anomaly of the transporting epithelium.,abnormal shape of transporting epithelium
http://purl.obolibrary.org/obo/XPO_0103153,abnormal morphology of ventral tegmentum ,Any structural anomaly of the ventral tegmentum.,abnormal shape of ventral tegmentum
http://purl.obolibrary.org/obo/XPO_0103028,abnormal morphology of apical epithelial cap ,Any structural anomaly of the apical epithelial cap.,abnormal shape of apical epithelial cap
http://purl.obolibrary.org/obo/XPO_0103116,abnormal morphology of bone marrow ,Any structural anomaly of the bone marrow.,abnormal shape of bone marrow
http://purl.obolibrary.org/obo/XPO_0103204,abnormal morphology of ceratohyal ,Any structural anomaly of the ceratohyal.,abnormal shape of ceratohyal
http://purl.obolibrary.org/obo/XPO_0101997,abnormal morphology of braincase and otic capsule skeleton ,Any structural anomaly of the braincase and otic capsule skeleton.,abnormal shape of braincase and otic capsule skeleton
http://purl.obolibrary.org/obo/XPO_0100193,abnormal granule cell layer of the olfactory bulb,Abnormality of granule cell layer of the olfactory bulb.,abnormality of granule cell layer of the olfactory bulb
http://purl.obolibrary.org/obo/XPO_0100281,abnormal median fin skeleton,Abnormality of median fin skeleton.,abnormality of median fin skeleton
http://purl.obolibrary.org/obo/XPO_0102789,abnormal morphology of female organism ,Any structural anomaly of the female organism.,abnormal shape of female organism
http://purl.obolibrary.org/obo/XPO_0102877,abnormal morphology of ventricular outflow tract ,Any structural anomaly of the ventricular outflow tract.,abnormal shape of ventricular outflow tract
http://purl.obolibrary.org/obo/XPO_0102965,abnormal morphology of barrier epithelial cell ,Any structural anomaly of the barrier epithelial cell.,abnormal shape of barrier epithelial cell
http://purl.obolibrary.org/obo/XPO_0100068,abnormal anatomical region,Abnormality of anatomical region.,abnormality of anatomical region
http://purl.obolibrary.org/obo/XPO_0100156,abnormal foregut,Abnormality of foregut.,abnormality of foregut
http://purl.obolibrary.org/obo/XPO_0100332,abnormal germinal granule,Abnormality of germinal granule.,abnormality of germinal granule
http://purl.obolibrary.org/obo/XPO_0100420,abnormal choana,Abnormality of choana.,abnormality of choana
http://purl.obolibrary.org/obo/XPO_0101073,abnormal Bowman's gland,Abnormality of Bowman's gland.,abnormality of Bowman's gland
http://purl.obolibrary.org/obo/XPO_0101161,abnormal anterodorsal tegmental nucleus,Abnormality of anterodorsal tegmental nucleus.,abnormality of anterodorsal tegmental nucleus
http://purl.obolibrary.org/obo/XPO_0102928,abnormal morphology of m. rectus abdominis ,Any structural anomaly of the m. rectus abdominis.,abnormal shape of m. rectus abdominis
http://purl.obolibrary.org/obo/XPO_0100207,abnormal blastema,Abnormality of blastema.,abnormality of blastema
http://purl.obolibrary.org/obo/XPO_0103669,abnormally formed left part of brain,An abnormally formed/malformed left part of brain.,malformed left part of brain
http://purl.obolibrary.org/obo/XPO_0103757,increased size of the hand,An increase in the size of the hand.,enlarged hand
http://purl.obolibrary.org/obo/XPO_0103845,Abnormally localised tail,An abnormally localised tail.,abnormal position of tail
http://purl.obolibrary.org/obo/XPO_0101036,abnormal pharynx,Abnormality of pharynx.,abnormality of pharynx
http://purl.obolibrary.org/obo/XPO_0101124,abnormal Muller cell,Abnormality of Muller cell.,abnormality of Muller cell
http://purl.obolibrary.org/obo/XPO_0101212,abnormal glomeral mesenchyme,Abnormality of glomeral mesenchyme.,abnormality of glomeral mesenchyme
http://purl.obolibrary.org/obo/XPO_0101300,abnormal lung,Abnormality of lung.,abnormality of lung
http://purl.obolibrary.org/obo/XPO_0102041,abnormal morphology of archenteron ,Any structural anomaly of the archenteron.,abnormal shape of archenteron
http://purl.obolibrary.org/obo/XPO_0102004,abnormal morphology of hematological system ,Any structural anomaly of the hematological system.,abnormal shape of hematological system
http://purl.obolibrary.org/obo/XPO_0100797,abnormal esophagus,Abnormality of esophagus.,abnormality of esophagus
